,curr_heading,track_error_deg,curr_alt_ft,altitude_error_ft,new_episode,action,altitude_out_of_bounds,altitude_reward,heading_reward,on_target,reward,heading_target,altitude_target,remaining fuel pounds
2892,253.1725853543591,1.8274146456409426,2954.4913923852146,-45.50860761478543,0,6,0,0.3961869901717873,0.4634746547740689,,0.8596616449458563,255,3000,190.97490681897625
2893,253.27457890353142,1.725421096468608,2954.690208543092,-45.30979145690799,0,2,0,0.3965313052503201,0.46551324497756963,,0.8620445502278897,255,3000,190.97181215880678
2894,253.77620984769464,1.2237901523053552,2955.4874624721706,-44.51253752782941,0,3,0,0.39791201068257404,0.4755395646501618,,0.8734515753327359,255,3000,190.96871733748927
2895,254.09949095925143,0.9005090407486023,2955.3966532051563,-44.603346794843674,0,6,0,0.39775474479313466,0.4820011272915685,,0.8797558720847032,255,3000,190.9656221074808
2896,253.94082843776448,1.0591715622355196,2955.403090875596,-44.59690912440419,0,3,0,0.3977658937210015,0.4788298692601469,,0.8765957629811485,255,3000,190.96252588992294
2897,253.8843267896308,1.1156732103692093,2956.0334458760917,-43.96655412390828,0,3,0,0.39885755917624627,0.47770054581467714,,0.8765581049909235,255,3000,190.95942949043797
2898,253.87229419671888,1.127705803281117,2955.752593487501,-44.247406512498856,0,6,0,0.3983711715844828,0.47746004505524686,,0.8758312166397297,255,3000,190.9563326335429
2899,253.64108989907956,1.3589101009204114,2955.570473548025,-44.42952645197511,0,2,0,0.3980557714583934,0.4728388624412528,,0.8708946338996462,255,3000,190.95323471549372
2900,253.7000989281261,1.2999010718739328,2956.0202494449914,-43.97975055500865,0,3,0,0.3988347052479781,0.474018302018642,,0.8728530072666201,255,3000,190.9501365317582
2901,253.75833143516002,1.2416685648399834,2955.5532091893256,-44.44679081067443,0,6,0,0.39802587258556116,0.4751822209069251,,0.8732080934924862,255,3000,190.94703780603786
2902,253.4618659266916,1.538134073308413,2955.202804569155,-44.79719543084502,0,3,0,0.39741903260031874,0.46925663359141323,,0.866675666191732,255,3000,190.94393793102495
2903,253.29487856530932,1.7051214346906818,2955.5029052495956,-44.49709475040436,0,3,0,0.3979387548927965,0.4659189833009311,,0.8638577381937276,255,3000,190.94083771734196
2904,253.3486255414645,1.6513744585355425,2954.880291774869,-45.119708225131035,0,6,0,0.3968604964165501,0.466993247898514,,0.863853744315064,255,3000,190.9377368997193
2905,253.2778407052199,1.7221592947801128,2954.393703997135,-45.60629600286484,0,2,0,0.39601781083861637,0.46557844005139437,,0.8615962508900108,255,3000,190.9346348897258
2906,253.57426660293652,1.4257333970634818,2954.5837997421622,-45.41620025783777,0,3,0,0.39634702367562374,0.47150323564928076,,0.8678502593249044,255,3000,190.93153253206887
2907,253.8361747658705,1.1638252341294901,2953.855055529624,-46.144944470375776,0,6,0,0.3950849651817412,0.476738110006599,,0.8718230751883402,255,3000,190.9284295545943
2908,253.7010926868498,1.2989073131502096,2953.2873344682157,-46.712665531784296,0,3,0,0.39410177083813014,0.4740381647140307,,0.8681399355521608,255,3000,190.92532535458787
2909,253.6790432465129,1.3209567534871098,2953.413354896009,-46.58664510399103,0,3,0,0.3943200163467226,0.47359745279226484,,0.8679174691389875,255,3000,190.92222076244863
2910,253.79109752052716,1.2089024794728402,2952.6074192486703,-47.39258075132966,0,6,0,0.39292427568525773,0.47583713115545134,,0.868761406840709,255,3000,190.9191154968317
2911,253.70537398049137,1.2946260195086552,2951.9809836931527,-48.019016306847334,0,2,0,0.3918393980284491,0.47412373682468695,,0.865963134853136,255,3000,190.9160089649646
2912,253.59654811562166,1.4034518843783417,2952.039390221238,-47.960609778761864,0,6,0,0.39194054799794487,0.4719485861037724,,0.8638891341017172,255,3000,190.91290188915386
2913,253.34424788839655,1.6557521116034195,2953.1719063185155,-46.82809368148446,0,3,0,0.39390186931677895,0.46690574980936106,,0.86080761912614,255,3000,190.9097944071495
2914,253.25869895142748,1.7413010485724953,2955.047140683979,-44.952859316021204,0,3,0,0.3971494497685139,0.46519584534736036,,0.8623452951158743,255,3000,190.90668727616088
